,L,A,B,LAB,HEX
123,60,19.8125,-91.859375,"[60.0, 19.8125, -91.859375]",#0091ff
124,60,24.8125,-91.859375,"[60.0, 24.8125, -91.859375]",#008dff
125,60,29.8125,-91.859375,"[60.0, 29.8125, -91.859375]",#008aff
126,60,34.8125,-91.859375,"[60.0, 34.8125, -91.859375]",#0086ff
127,60,39.8125,-91.859375,"[60.0, 39.8125, -91.859375]",#3782ff
128,60,44.8125,-91.859375,"[60.0, 44.8125, -91.859375]",#547eff
129,60,49.8125,-91.859375,"[60.0, 49.8125, -91.859375]",#697aff
130,60,54.8125,-91.859375,"[60.0, 54.8125, -91.859375]",#7a75ff
131,60,59.8125,-91.859375,"[60.0, 59.8125, -91.859375]",#8970ff
132,60,64.8125,-91.859375,"[60.0, 64.8125, -91.859375]",#966aff
133,60,69.8125,-91.859375,"[60.0, 69.8125, -91.859375]",#a264ff
134,60,74.8125,-91.859375,"[60.0, 74.8125, -91.859375]",#ae5dff
135,60,79.8125,-91.859375,"[60.0, 79.8125, -91.859375]",#b955ff
136,60,-85.1875,-86.859375,"[60.0, -85.1875, -86.859375]",#00b8ff
137,60,-80.1875,-86.859375,"[60.0, -80.1875, -86.859375]",#00b7ff
138,60,-75.1875,-86.859375,"[60.0, -75.1875, -86.859375]",#00b6ff
139,60,-70.1875,-86.859375,"[60.0, -70.1875, -86.859375]",#00b5ff
140,60,-65.1875,-86.859375,"[60.0, -65.1875, -86.859375]",#00b3ff
141,60,-60.1875,-86.859375,"[60.0, -60.1875, -86.859375]",#00b2ff
142,60,-55.1875,-86.859375,"[60.0, -55.1875, -86.859375]",#00b1ff
143,60,-50.1875,-86.859375,"[60.0, -50.1875, -86.859375]",#00afff
144,60,-45.1875,-86.859375,"[60.0, -45.1875, -86.859375]",#00adff
145,60,-40.1875,-86.859375,"[60.0, -40.1875, -86.859375]",#00acff
146,60,-35.1875,-86.859375,"[60.0, -35.1875, -86.859375]",#00aaff
147,60,-30.1875,-86.859375,"[60.0, -30.1875, -86.859375]",#00a8ff
148,60,-25.1875,-86.859375,"[60.0, -25.1875, -86.859375]",#00a6ff
149,60,-20.1875,-86.859375,"[60.0, -20.1875, -86.859375]",#00a4ff
150,60,-15.1875,-86.859375,"[60.0, -15.1875, -86.859375]",#00a2ff
151,60,-10.1875,-86.859375,"[60.0, -10.1875, -86.859375]",#00a0ff
152,60,-5.1875,-86.859375,"[60.0, -5.1875, -86.859375]",#009dff
153,60,-0.1875,-86.859375,"[60.0, -0.1875, -86.859375]",#009bff
154,60,4.8125,-86.859375,"[60.0, 4.8125, -86.859375]",#0098ff
155,60,9.8125,-86.859375,"[60.0, 9.8125, -86.859375]",#0096ff
156,60,14.8125,-86.859375,"[60.0, 14.8125, -86.859375]",#0093ff
157,60,19.8125,-86.859375,"[60.0, 19.8125, -86.859375]",#0090ff
158,60,24.8125,-86.859375,"[60.0, 24.8125, -86.859375]",#008cff
159,60,29.8125,-86.859375,"[60.0, 29.8125, -86.859375]",#0089ff
160,60,34.8125,-86.859375,"[60.0, 34.8125, -86.859375]",#3785ff
161,60,39.8125,-86.859375,"[60.0, 39.8125, -86.859375]",#5481ff
162,60,44.8125,-86.859375,"[60.0, 44.8125, -86.859375]",#687dff
163,60,49.8125,-86.859375,"[60.0, 49.8125, -86.859375]",#7979ff
164,60,54.8125,-86.859375,"[60.0, 54.8125, -86.859375]",#8774ff
165,60,59.8125,-86.859375,"[60.0, 59.8125, -86.859375]",#956fff
166,60,64.8125,-86.859375,"[60.0, 64.8125, -86.859375]",#a169ff
167,60,69.8125,-86.859375,"[60.0, 69.8125, -86.859375]",#ac63ff
168,60,74.8125,-86.859375,"[60.0, 74.8125, -86.859375]",#b75cff
169,60,79.8125,-86.859375,"[60.0, 79.8125, -86.859375]",#c154ff
170,60,-85.1875,-81.859375,"[60.0, -85.1875, -81.859375]",#00b8ff
171,60,-80.1875,-81.859375,"[60.0, -80.1875, -81.859375]",#00b6ff
172,60,-75.1875,-81.859375,"[60.0, -75.1875, -81.859375]",#00b5ff
173,60,-70.1875,-81.859375,"[60.0, -70.1875, -81.859375]",#00b4ff
174,60,-65.1875,-81.859375,"[60.0, -65.1875, -81.859375]",#00b3ff
175,60,-60.1875,-81.859375,"[60.0, -60.1875, -81.859375]",#00b1ff
176,60,-55.1875,-81.859375,"[60.0, -55.1875, -81.859375]",#00b0ff
177,60,-50.1875,-81.859375,"[60.0, -50.1875, -81.859375]",#00aeff
178,60,-45.1875,-81.859375,"[60.0, -45.1875, -81.859375]",#00adff
179,60,-40.1875,-81.859375,"[60.0, -40.1875, -81.859375]",#00abff
180,60,-35.1875,-81.859375,"[60.0, -35.1875, -81.859375]",#00a9ff
181,60,-30.1875,-81.859375,"[60.0, -30.1875, -81.859375]",#00a7ff
182,60,-25.1875,-81.859375,"[60.0, -25.1875, -81.859375]",#00a5ff
183,60,-20.1875,-81.859375,"[60.0, -20.1875, -81.859375]",#00a3ff
184,60,-15.1875,-81.859375,"[60.0, -15.1875, -81.859375]",#00a1ff
185,60,-10.1875,-81.859375,"[60.0, -10.1875, -81.859375]",#009fff
186,60,-5.1875,-81.859375,"[60.0, -5.1875, -81.859375]",#009dff
187,60,-0.1875,-81.859375,"[60.0, -0.1875, -81.859375]",#009aff
188,60,4.8125,-81.859375,"[60.0, 4.8125, -81.859375]",#0097ff
189,60,9.8125,-81.859375,"[60.0, 9.8125, -81.859375]",#0095ff
190,60,14.8125,-81.859375,"[60.0, 14.8125, -81.859375]",#0092ff
191,60,19.8125,-81.859375,"[60.0, 19.8125, -81.859375]",#008fff
192,60,24.8125,-81.859375,"[60.0, 24.8125, -81.859375]",#008bff
193,60,29.8125,-81.859375,"[60.0, 29.8125, -81.859375]",#3788ff
194,60,34.8125,-81.859375,"[60.0, 34.8125, -81.859375]",#5384ff
195,60,39.8125,-81.859375,"[60.0, 39.8125, -81.859375]",#6780ff
196,60,44.8125,-81.859375,"[60.0, 44.8125, -81.859375]",#777cff
197,60,49.8125,-81.859375,"[60.0, 49.8125, -81.859375]",#8677ff
198,60,54.8125,-81.859375,"[60.0, 54.8125, -81.859375]",#9373ff
199,60,59.8125,-81.859375,"[60.0, 59.8125, -81.859375]",#9f6dff
200,60,64.8125,-81.859375,"[60.0, 64.8125, -81.859375]",#aa67ff
201,60,69.8125,-81.859375,"[60.0, 69.8125, -81.859375]",#b561ff
202,60,74.8125,-81.859375,"[60.0, 74.8125, -81.859375]",#bf5aff
203,60,79.8125,-81.859375,"[60.0, 79.8125, -81.859375]",#c852ff
204,60,-85.1875,-76.859375,"[60.0, -85.1875, -76.859375]",#00b7ff
